tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
BESC-145-2,BESC-145,2,2019,0,0,NA,NA,NA,23.5,0
BESC-192-2,BESC-192,2,2010,0,0,350.52,NA,NA,NA,0
BESC-192-2,BESC-192,2,2011,0,0,603.504,12.2,9.2,NA,0
BESC-192-2,BESC-192,2,2012,0,0,820,NA,NA,9.8,0
BESC-192-2,BESC-192,2,2013,0,0,850,NA,NA,15.5,0
BESC-192-2,BESC-192,2,2014,0,0,NA,NA,NA,16.1,0
BESC-192-2,BESC-192,2,2015,0,0,NA,NA,NA,18.1,0
BESC-192-2,BESC-192,2,2018,0,0,NA,NA,NA,24.9,0
BESC-192-2,BESC-192,2,2019,0,0,NA,NA,NA,25.6,0
BESC-2-2,BESC-2,2,2010,0,0,265.4808,NA,NA,NA,0
BESC-2-2,BESC-2,2,2011,0,0,495.60480000000007,8.5,6.5,NA,0
BESC-2-2,BESC-2,2,2012,0,0,750,NA,NA,6.300000000000001,0
BESC-2-2,BESC-2,2,2013,0,0,1140,NA,NA,9.1,0
BESC-2-2,BESC-2,2,2014,0,0,NA,NA,NA,12,0
BESC-2-2,BESC-2,2,2015,0,0,NA,NA,NA,14.1,0
BESC-2-2,BESC-2,2,2018,0,0,NA,NA,NA,18.1,0
BESC-2-2,BESC-2,2,2019,0,0,NA,NA,NA,20,0
BESC-265-2,BESC-265,2,2010,0,0,371.856,NA,NA,NA,0
BESC-265-2,BESC-265,2,2011,0,0,618.744,10.7,10,NA,0
BESC-265-2,BESC-265,2,2012,0,0,830,NA,NA,9.5,0
BESC-265-2,BESC-265,2,2013,0,0,1170,NA,NA,13.7,0
BESC-265-2,BESC-265,2,2014,0,0,NA,NA,NA,16.5,0
BESC-265-2,BESC-265,2,2015,0,0,NA,NA,NA,19.3,0
BESC-265-2,BESC-265,2,2018,0,0,NA,NA,NA,24.6,0
BESC-265-2,BESC-265,2,2019,0,0,NA,NA,NA,25.5,0
BESC-319-2,BESC-319,2,2010,0,0,345.0336,NA,NA,NA,0
BESC-319-2,BESC-319,2,2011,0,0,574.2432,9.5,9.3,NA,0
BESC-319-2,BESC-319,2,2012,0,0,890,NA,NA,9.8,0
BESC-319-2,BESC-319,2,2013,0,0,1150,NA,NA,14,0
BESC-319-2,BESC-319,2,2014,0,0,NA,NA,NA,17.8,0
BESC-319-2,BESC-319,2,2015,0,0,NA,NA,NA,20.1,0
BESC-319-2,BESC-319,2,2018,0,0,NA,NA,NA,25.200000000000003,0
BESC-319-2,BESC-319,2,2019,0,0,NA,NA,NA,26,0
BESC-35-2,BESC-35,2,2010,0,0,331.6224,NA,NA,NA,0
BESC-35-2,BESC-35,2,2011,0,0,687.324,9.6,8.3,NA,0
BESC-35-2,BESC-35,2,2012,0,0,1010,NA,NA,9.2,0
BESC-35-2,BESC-35,2,2013,0,0,1380,NA,NA,12.6,0
BESC-35-2,BESC-35,2,2014,0,0,NA,NA,NA,14.9,0
BESC-35-2,BESC-35,2,2015,0,0,NA,NA,NA,16.2,0
BESC-35-2,BESC-35,2,2018,0,0,NA,NA,NA,21.200000000000003,0
BESC-35-2,BESC-35,2,2019,0,0,NA,NA,NA,21.700000000000003,0
BESC-351-2,BESC-351,2,2010,0,0,289.56,NA,NA,NA,0
BESC-351-2,BESC-351,2,2011,0,0,563.88,9.5,7.5,NA,0
BESC-351-2,BESC-351,2,2012,0,0,850,NA,NA,7.5,0
BESC-351-2,BESC-351,2,2013,0,0,1210,NA,NA,11.1,0
BESC-351-2,BESC-351,2,2014,0,0,NA,NA,NA,13.6,0
BESC-351-2,BESC-351,2,2015,0,0,NA,NA,NA,14.5,0
BESC-351-2,BESC-351,2,2018,0,0,NA,NA,NA,17.2,0
BESC-351-2,BESC-351,2,2019,0,0,NA,NA,NA,18.9,0
BESC-36-2,BESC-36,2,2010,0,0,231.648,NA,NA,NA,0
BESC-36-2,BESC-36,2,2011,0,0,463.29599999999994,6.800000000000001,6.1000000000000005,NA,0
BESC-36-2,BESC-36,2,2012,0,0,690,NA,NA,7.300000000000001,0
BESC-36-2,BESC-36,2,2013,0,0,1000,NA,NA,10.6,0
BESC-36-2,BESC-36,2,2014,0,0,NA,NA,NA,12.4,0
BESC-36-2,BESC-36,2,2015,0,0,NA,NA,NA,13.8,0
